# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 8c
# L*,MLT,Intensity,Counts
3.2500,2.5000,2.1517e-01,2.4000e+02
3.3500,2.5000,1.1351e+00,2.6900e+02
3.4500,2.5000,9.0858e+00,3.2300e+02
3.5500,2.5000,7.0205e+00,3.8200e+02
3.6500,2.5000,1.0764e+01,3.8200e+02
3.7500,2.5000,4.8396e+01,3.7900e+02
3.8500,2.5000,3.4254e+02,2.1700e+02
3.9500,2.5000,2.6842e+01,1.9800e+02
4.0500,2.5000,7.1739e+01,2.6700e+02
4.1500,2.5000,3.2142e+02,2.9700e+02
4.2500,2.5000,1.7250e+02,2.5800e+02
4.3500,2.5000,2.0783e+02,2.7900e+02
4.4500,2.5000,2.2060e+02,3.1700e+02
4.5500,2.5000,1.1565e+02,3.0100e+02
4.6500,2.5000,1.0864e+02,2.6700e+02
4.7500,2.5000,2.9341e+01,3.0500e+02
4.8500,2.5000,1.4017e+01,3.9800e+02
4.9500,2.5000,8.7948e+01,2.4500e+02
5.0500,2.5000,2.5324e+01,1.1300e+02
5.1500,2.5000,3.2473e-01,2.8500e+02
5.2500,2.5000,1.1140e+02,2.0500e+02
5.3500,2.5000,8.8691e-01,1.2300e+02
5.4500,2.5000,9.4254e-02,2.5000e+02
5.5500,2.5000,nan,0.0000e+00
5.6500,2.5000,nan,0.0000e+00
5.7500,2.5000,nan,0.0000e+00
5.8500,2.5000,nan,0.0000e+00
5.9500,2.5000,nan,0.0000e+00
6.0500,2.5000,nan,0.0000e+00
6.1500,2.5000,nan,0.0000e+00
6.2500,2.5000,nan,0.0000e+00
6.3500,2.5000,nan,0.0000e+00
6.4500,2.5000,nan,0.0000e+00
6.5500,2.5000,nan,0.0000e+00
6.6500,2.5000,nan,0.0000e+00
6.7500,2.5000,nan,0.0000e+00
6.8500,2.5000,nan,0.0000e+00
6.9500,2.5000,nan,0.0000e+00
7.0500,2.5000,nan,0.0000e+00
7.1500,2.5000,nan,0.0000e+00
7.2500,2.5000,nan,0.0000e+00
7.3500,2.5000,nan,0.0000e+00
7.4500,2.5000,nan,0.0000e+00
7.5500,2.5000,nan,0.0000e+00
7.6500,2.5000,nan,0.0000e+00
7.7500,2.5000,nan,0.0000e+00
7.8500,2.5000,nan,0.0000e+00
7.9500,2.5000,nan,0.0000e+00
0.0500,3.5000,nan,0.0000e+00
0.1500,3.5000,nan,0.0000e+00
0.2500,3.5000,nan,0.0000e+00
0.3500,3.5000,nan,0.0000e+00
0.4500,3.5000,nan,0.0000e+00
0.5500,3.5000,nan,0.0000e+00
0.6500,3.5000,nan,0.0000e+00
0.7500,3.5000,nan,0.0000e+00
0.8500,3.5000,nan,0.0000e+00
0.9500,3.5000,nan,0.0000e+00
1.0500,3.5000,nan,0.0000e+00
1.1500,3.5000,nan,0.0000e+00
1.2500,3.5000,nan,0.0000e+00
1.3500,3.5000,nan,0.0000e+00
1.4500,3.5000,nan,0.0000e+00
1.5500,3.5000,nan,0.0000e+00
1.6500,3.5000,nan,0.0000e+00
1.7500,3.5000,nan,0.0000e+00
1.8500,3.5000,nan,0.0000e+00
1.9500,3.5000,nan,0.0000e+00
2.0500,3.5000,nan,0.0000e+00
2.1500,3.5000,nan,0.0000e+00
2.2500,3.5000,nan,0.0000e+00
2.3500,3.5000,nan,0.0000e+00
2.4500,3.5000,nan,0.0000e+00
2.5500,3.5000,nan,0.0000e+00
2.6500,3.5000,nan,0.0000e+00
2.7500,3.5000,nan,6.7000e+01
2.8500,3.5000,nan,8.5000e+01
2.9500,3.5000,0.0000e+00,1.8200e+02
3.0500,3.5000,0.0000e+00,2.1600e+02
3.1500,3.5000,0.0000e+00,2.8000e+02
3.2500,3.5000,2.5177e+00,3.1700e+02
3.3500,3.5000,1.6854e+00,4.3600e+02
3.4500,3.5000,1.9839e+01,4.6100e+02
3.5500,3.5000,2.3062e+01,4.5800e+02
3.6500,3.5000,9.0407e+01,4.5500e+02
3.7500,3.5000,3.5675e+01,3.4100e+02
3.8500,3.5000,2.4305e+01,2.8300e+02
3.9500,3.5000,4.6286e+00,2.2100e+02
4.0500,3.5000,1.3632e+01,1.8100e+02
4.1500,3.5000,0.0000e+00,1.3100e+02
4.2500,3.5000,8.7165e+01,1.4500e+02
4.3500,3.5000,9.3109e+01,1.2000e+02
4.4500,3.5000,1.5781e+02,2.5600e+02
4.5500,3.5000,4.0050e+02,2.3600e+02
4.6500,3.5000,1.5736e+02,2.1000e+02
4.7500,3.5000,1.0712e+02,2.8300e+02
4.8500,3.5000,3.3852e+01,2.0300e+02
