# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 8i
# L*,MLT,Intensity,Counts
5.5500,0.5000,0.0000e+00,1.1000e+02
5.6500,0.5000,nan,4.5000e+01
5.7500,0.5000,nan,0.0000e+00
5.8500,0.5000,nan,0.0000e+00
5.9500,0.5000,nan,0.0000e+00
6.0500,0.5000,nan,0.0000e+00
6.1500,0.5000,nan,0.0000e+00
6.2500,0.5000,nan,0.0000e+00
6.3500,0.5000,nan,0.0000e+00
6.4500,0.5000,nan,0.0000e+00
6.5500,0.5000,nan,0.0000e+00
6.6500,0.5000,nan,0.0000e+00
6.7500,0.5000,nan,0.0000e+00
6.8500,0.5000,nan,0.0000e+00
6.9500,0.5000,nan,0.0000e+00
7.0500,0.5000,nan,0.0000e+00
7.1500,0.5000,nan,0.0000e+00
7.2500,0.5000,nan,0.0000e+00
7.3500,0.5000,nan,0.0000e+00
7.4500,0.5000,nan,0.0000e+00
7.5500,0.5000,nan,0.0000e+00
7.6500,0.5000,nan,0.0000e+00
7.7500,0.5000,nan,0.0000e+00
7.8500,0.5000,nan,0.0000e+00
7.9500,0.5000,nan,0.0000e+00
0.0500,1.5000,nan,0.0000e+00
0.1500,1.5000,nan,0.0000e+00
0.2500,1.5000,nan,0.0000e+00
0.3500,1.5000,nan,0.0000e+00
0.4500,1.5000,nan,0.0000e+00
0.5500,1.5000,nan,0.0000e+00
0.6500,1.5000,nan,0.0000e+00
0.7500,1.5000,nan,0.0000e+00
0.8500,1.5000,nan,0.0000e+00
0.9500,1.5000,nan,0.0000e+00
1.0500,1.5000,nan,0.0000e+00
1.1500,1.5000,nan,0.0000e+00
1.2500,1.5000,nan,0.0000e+00
1.3500,1.5000,nan,0.0000e+00
1.4500,1.5000,nan,0.0000e+00
1.5500,1.5000,nan,0.0000e+00
1.6500,1.5000,nan,0.0000e+00
1.7500,1.5000,nan,0.0000e+00
1.8500,1.5000,nan,0.0000e+00
1.9500,1.5000,nan,0.0000e+00
2.0500,1.5000,nan,0.0000e+00
2.1500,1.5000,nan,0.0000e+00
2.2500,1.5000,nan,0.0000e+00
2.3500,1.5000,nan,0.0000e+00
2.4500,1.5000,nan,0.0000e+00
2.5500,1.5000,nan,4.0000e+00
2.6500,1.5000,nan,0.0000e+00
2.7500,1.5000,nan,0.0000e+00
2.8500,1.5000,nan,1.6000e+01
2.9500,1.5000,nan,3.2000e+01
3.0500,1.5000,nan,3.2000e+01
3.1500,1.5000,nan,4.4000e+01
3.2500,1.5000,nan,6.7000e+01
3.3500,1.5000,4.2692e-02,1.5200e+02
3.4500,1.5000,1.0043e+00,2.2100e+02
3.5500,1.5000,5.1760e+00,2.5000e+02
3.6500,1.5000,1.5278e+00,3.3400e+02
3.7500,1.5000,9.7879e+00,3.0500e+02
3.8500,1.5000,2.6849e+01,3.2800e+02
3.9500,1.5000,1.3152e+01,2.3500e+02
4.0500,1.5000,1.0274e+01,1.6200e+02
4.1500,1.5000,nan,9.1000e+01
4.2500,1.5000,nan,9.8000e+01
4.3500,1.5000,nan,8.5000e+01
4.4500,1.5000,nan,2.1000e+01
4.5500,1.5000,nan,4.9000e+01
4.6500,1.5000,nan,5.1000e+01
4.7500,1.5000,nan,2.7000e+01
4.8500,1.5000,nan,5.2000e+01
4.9500,1.5000,nan,6.0000e+01
5.0500,1.5000,0.0000e+00,1.2200e+02
5.1500,1.5000,0.0000e+00,1.2100e+02
5.2500,1.5000,nan,6.4000e+01
5.3500,1.5000,nan,9.6000e+01
5.4500,1.5000,nan,0.0000e+00
5.5500,1.5000,nan,6.9000e+01
5.6500,1.5000,0.0000e+00,2.2000e+02
5.7500,1.5000,0.0000e+00,2.5500e+02
5.8500,1.5000,0.0000e+00,2.6800e+02
5.9500,1.5000,0.0000e+00,2.6000e+02
6.0500,1.5000,nan,4.5000e+01
6.1500,1.5000,nan,0.0000e+00
6.2500,1.5000,nan,0.0000e+00
6.3500,1.5000,nan,0.0000e+00
6.4500,1.5000,nan,0.0000e+00
6.5500,1.5000,nan,0.0000e+00
6.6500,1.5000,nan,0.0000e+00
6.7500,1.5000,nan,0.0000e+00
6.8500,1.5000,nan,0.0000e+00
6.9500,1.5000,nan,0.0000e+00
7.0500,1.5000,nan,0.0000e+00
7.1500,1.5000,nan,0.0000e+00
7.2500,1.5000,nan,0.0000e+00
7.3500,1.5000,nan,0.0000e+00
7.4500,1.5000,nan,0.0000e+00
7.5500,1.5000,nan,0.0000e+00
7.6500,1.5000,nan,0.0000e+00
7.7500,1.5000,nan,0.0000e+00
7.8500,1.5000,nan,0.0000e+00
7.9500,1.5000,nan,0.0000e+00
0.0500,2.5000,nan,0.0000e+00
0.1500,2.5000,nan,0.0000e+00
0.2500,2.5000,nan,0.0000e+00
0.3500,2.5000,nan,0.0000e+00
0.4500,2.5000,nan,0.0000e+00
0.5500,2.5000,nan,0.0000e+00
0.6500,2.5000,nan,0.0000e+00
0.7500,2.5000,nan,0.0000e+00
0.8500,2.5000,nan,0.0000e+00
0.9500,2.5000,nan,0.0000e+00
1.0500,2.5000,nan,0.0000e+00
