# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 8d
# L*,MLT,Intensity,Counts
4.3500,1.5000,2.4865e+00,8.1200e+02
4.4500,1.5000,8.2800e-01,9.8000e+02
4.5500,1.5000,7.2982e+00,1.2940e+03
4.6500,1.5000,3.9420e+00,1.6610e+03
4.7500,1.5000,1.8595e+00,1.7840e+03
4.8500,1.5000,3.8229e+00,1.9680e+03
4.9500,1.5000,5.5348e-01,2.0980e+03
5.0500,1.5000,5.3940e-01,2.6950e+03
5.1500,1.5000,1.4603e+00,3.6500e+03
5.2500,1.5000,6.3446e+00,3.9420e+03
5.3500,1.5000,1.4224e+01,4.7660e+03
5.4500,1.5000,4.2434e+01,5.6290e+03
5.5500,1.5000,6.6871e+00,3.0740e+03
5.6500,1.5000,2.6976e+00,2.0210e+03
5.7500,1.5000,1.7803e+00,1.7350e+03
5.8500,1.5000,9.4150e+00,1.4670e+03
5.9500,1.5000,1.9523e+01,7.3900e+02
6.0500,1.5000,1.2354e+01,2.2200e+02
6.1500,1.5000,2.2102e+01,3.6900e+02
6.2500,1.5000,nan,0.0000e+00
6.3500,1.5000,nan,0.0000e+00
6.4500,1.5000,nan,0.0000e+00
6.5500,1.5000,nan,0.0000e+00
6.6500,1.5000,nan,0.0000e+00
6.7500,1.5000,nan,0.0000e+00
6.8500,1.5000,nan,0.0000e+00
6.9500,1.5000,nan,0.0000e+00
7.0500,1.5000,nan,0.0000e+00
7.1500,1.5000,nan,0.0000e+00
7.2500,1.5000,nan,0.0000e+00
7.3500,1.5000,nan,0.0000e+00
7.4500,1.5000,nan,0.0000e+00
7.5500,1.5000,nan,0.0000e+00
7.6500,1.5000,nan,0.0000e+00
7.7500,1.5000,nan,0.0000e+00
7.8500,1.5000,nan,0.0000e+00
7.9500,1.5000,nan,0.0000e+00
0.0500,2.5000,nan,0.0000e+00
0.1500,2.5000,nan,0.0000e+00
0.2500,2.5000,nan,0.0000e+00
0.3500,2.5000,nan,0.0000e+00
0.4500,2.5000,nan,0.0000e+00
0.5500,2.5000,nan,0.0000e+00
0.6500,2.5000,nan,0.0000e+00
0.7500,2.5000,nan,0.0000e+00
0.8500,2.5000,nan,0.0000e+00
0.9500,2.5000,nan,0.0000e+00
1.0500,2.5000,nan,0.0000e+00
1.1500,2.5000,nan,0.0000e+00
1.2500,2.5000,nan,0.0000e+00
1.3500,2.5000,nan,0.0000e+00
1.4500,2.5000,nan,0.0000e+00
1.5500,2.5000,nan,0.0000e+00
1.6500,2.5000,nan,0.0000e+00
1.7500,2.5000,nan,0.0000e+00
1.8500,2.5000,nan,0.0000e+00
1.9500,2.5000,nan,0.0000e+00
2.0500,2.5000,nan,0.0000e+00
2.1500,2.5000,nan,0.0000e+00
2.2500,2.5000,nan,0.0000e+00
2.3500,2.5000,nan,0.0000e+00
2.4500,2.5000,nan,0.0000e+00
2.5500,2.5000,nan,0.0000e+00
2.6500,2.5000,nan,0.0000e+00
2.7500,2.5000,nan,0.0000e+00
2.8500,2.5000,nan,0.0000e+00
2.9500,2.5000,nan,0.0000e+00
3.0500,2.5000,nan,0.0000e+00
3.1500,2.5000,nan,0.0000e+00
3.2500,2.5000,nan,1.4000e+01
3.3500,2.5000,nan,4.7000e+01
3.4500,2.5000,nan,7.6000e+01
3.5500,2.5000,nan,7.8000e+01
3.6500,2.5000,nan,6.0000e+01
3.7500,2.5000,7.9572e-02,1.5600e+02
3.8500,2.5000,0.0000e+00,1.2200e+02
3.9500,2.5000,0.0000e+00,1.9900e+02
4.0500,2.5000,0.0000e+00,1.2800e+02
4.1500,2.5000,1.0788e+02,2.7400e+02
