# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4a
# L*,|MLAT|,Intensity,Counts
1.7500,7.5000,nan,0.0000e+00
1.8500,7.5000,nan,0.0000e+00
1.9500,7.5000,nan,0.0000e+00
2.0500,7.5000,nan,0.0000e+00
2.1500,7.5000,nan,0.0000e+00
2.2500,7.5000,nan,0.0000e+00
2.3500,7.5000,nan,0.0000e+00
2.4500,7.5000,nan,0.0000e+00
2.5500,7.5000,2.9109e+00,8.4000e+01
2.6500,7.5000,2.9446e+00,1.1600e+02
2.7500,7.5000,5.9883e+00,1.6100e+02
2.8500,7.5000,7.6768e+00,2.6500e+02
2.9500,7.5000,1.3003e+01,3.5100e+02
3.0500,7.5000,1.5451e+01,4.0600e+02
3.1500,7.5000,3.5042e+01,4.1300e+02
3.2500,7.5000,4.8853e+01,4.6700e+02
3.3500,7.5000,3.9704e+02,6.1800e+02
3.4500,7.5000,2.0141e+02,5.8700e+02
3.5500,7.5000,4.6628e+02,6.1400e+02
3.6500,7.5000,5.7662e+02,6.8700e+02
3.7500,7.5000,8.5321e+02,8.4000e+02
3.8500,7.5000,9.7058e+02,9.5700e+02
3.9500,7.5000,7.6057e+02,1.3590e+03
4.0500,7.5000,3.2202e+02,1.4740e+03
4.1500,7.5000,4.5763e+02,1.7230e+03
4.2500,7.5000,2.8126e+02,1.8550e+03
4.3500,7.5000,2.9537e+02,1.9780e+03
4.4500,7.5000,9.3352e+02,1.9070e+03
4.5500,7.5000,1.4684e+03,2.0810e+03
4.6500,7.5000,1.6999e+03,1.5280e+03
4.7500,7.5000,2.7005e+03,3.8830e+03
4.8500,7.5000,2.5417e+03,3.6120e+03
4.9500,7.5000,1.4120e+03,2.5740e+03
5.0500,7.5000,7.4787e+03,1.2210e+03
5.1500,7.5000,nan,0.0000e+00
5.2500,7.5000,nan,0.0000e+00
5.3500,7.5000,nan,0.0000e+00
5.4500,7.5000,nan,0.0000e+00
5.5500,7.5000,nan,0.0000e+00
5.6500,7.5000,nan,0.0000e+00
5.7500,7.5000,nan,0.0000e+00
5.8500,7.5000,nan,0.0000e+00
5.9500,7.5000,nan,0.0000e+00
0.0500,10.5000,nan,0.0000e+00
0.1500,10.5000,nan,0.0000e+00
0.2500,10.5000,nan,0.0000e+00
0.3500,10.5000,nan,0.0000e+00
0.4500,10.5000,nan,0.0000e+00
0.5500,10.5000,nan,0.0000e+00
0.6500,10.5000,nan,0.0000e+00
0.7500,10.5000,nan,0.0000e+00
0.8500,10.5000,nan,0.0000e+00
0.9500,10.5000,nan,0.0000e+00
1.0500,10.5000,nan,0.0000e+00
1.1500,10.5000,nan,0.0000e+00
1.2500,10.5000,nan,0.0000e+00
1.3500,10.5000,nan,0.0000e+00
1.4500,10.5000,nan,0.0000e+00
1.5500,10.5000,nan,0.0000e+00
1.6500,10.5000,nan,0.0000e+00
1.7500,10.5000,nan,0.0000e+00
1.8500,10.5000,nan,0.0000e+00
1.9500,10.5000,nan,0.0000e+00
2.0500,10.5000,nan,0.0000e+00
2.1500,10.5000,nan,0.0000e+00
2.2500,10.5000,nan,0.0000e+00
2.3500,10.5000,nan,0.0000e+00
2.4500,10.5000,nan,0.0000e+00
2.5500,10.5000,3.2000e+00,7.0000e+01
2.6500,10.5000,1.8027e+02,1.5700e+02
2.7500,10.5000,1.4493e+01,1.9100e+02
2.8500,10.5000,8.7300e+00,2.0800e+02
2.9500,10.5000,4.5789e+01,2.5700e+02
3.0500,10.5000,4.8314e+01,3.2900e+02
3.1500,10.5000,5.3325e+01,3.5400e+02
3.2500,10.5000,8.7962e+01,4.6100e+02
3.3500,10.5000,3.7753e+02,5.1400e+02
3.4500,10.5000,8.2404e+02,6.6100e+02
3.5500,10.5000,9.8605e+02,7.5400e+02
3.6500,10.5000,8.0901e+02,8.4100e+02
3.7500,10.5000,1.9897e+03,9.0500e+02
3.8500,10.5000,1.5357e+03,9.0900e+02
3.9500,10.5000,2.5375e+03,7.9300e+02
4.0500,10.5000,3.4845e+03,8.9600e+02
4.1500,10.5000,1.5234e+03,1.1150e+03
4.2500,10.5000,4.2664e+02,1.3760e+03
4.3500,10.5000,1.3132e+03,1.7790e+03
4.4500,10.5000,1.2224e+03,1.6430e+03
4.5500,10.5000,2.0934e+03,2.4230e+03
4.6500,10.5000,2.9768e+03,3.3440e+03
4.7500,10.5000,1.7419e+03,2.4660e+03
4.8500,10.5000,2.1418e+03,1.8460e+03
4.9500,10.5000,2.1501e+03,1.5330e+03
5.0500,10.5000,2.7523e+03,1.1910e+03
5.1500,10.5000,nan,0.0000e+00
5.2500,10.5000,nan,0.0000e+00
5.3500,10.5000,nan,0.0000e+00
5.4500,10.5000,nan,0.0000e+00
5.5500,10.5000,nan,0.0000e+00
