# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4b
# L*,|MLAT|,Intensity,Counts
1.7500,7.5000,nan,0.0000e+00
1.8500,7.5000,nan,0.0000e+00
1.9500,7.5000,nan,0.0000e+00
2.0500,7.5000,nan,0.0000e+00
2.1500,7.5000,nan,0.0000e+00
2.2500,7.5000,nan,0.0000e+00
2.3500,7.5000,nan,0.0000e+00
2.4500,7.5000,nan,0.0000e+00
2.5500,7.5000,5.0716e+00,9.8200e+02
2.6500,7.5000,2.8746e+01,1.3150e+03
2.7500,7.5000,1.6719e+01,1.5710e+03
2.8500,7.5000,2.1208e+01,1.9050e+03
2.9500,7.5000,3.4718e+01,2.2590e+03
3.0500,7.5000,4.3341e+01,2.7270e+03
3.1500,7.5000,8.8719e+01,3.0720e+03
3.2500,7.5000,1.0196e+02,3.5340e+03
3.3500,7.5000,1.8424e+02,3.9810e+03
3.4500,7.5000,2.5251e+02,4.3250e+03
3.5500,7.5000,3.1340e+02,4.7070e+03
3.6500,7.5000,4.0346e+02,5.2790e+03
3.7500,7.5000,5.5300e+02,6.1110e+03
3.8500,7.5000,5.2389e+02,6.8940e+03
3.9500,7.5000,7.5927e+02,7.5630e+03
4.0500,7.5000,1.7440e+03,8.2370e+03
4.1500,7.5000,1.8298e+03,9.8800e+03
4.2500,7.5000,1.2734e+03,1.1475e+04
4.3500,7.5000,1.4732e+03,1.3488e+04
4.4500,7.5000,1.2191e+03,1.5958e+04
4.5500,7.5000,1.5121e+03,1.8491e+04
4.6500,7.5000,1.3314e+03,2.1551e+04
4.7500,7.5000,1.6431e+03,2.2738e+04
4.8500,7.5000,1.4588e+03,2.0381e+04
4.9500,7.5000,1.7349e+03,1.3577e+04
5.0500,7.5000,2.6891e+03,9.7890e+03
5.1500,7.5000,nan,0.0000e+00
5.2500,7.5000,nan,0.0000e+00
5.3500,7.5000,nan,0.0000e+00
5.4500,7.5000,nan,0.0000e+00
5.5500,7.5000,nan,0.0000e+00
5.6500,7.5000,nan,0.0000e+00
5.7500,7.5000,nan,0.0000e+00
5.8500,7.5000,nan,0.0000e+00
5.9500,7.5000,nan,0.0000e+00
0.0500,10.5000,nan,0.0000e+00
0.1500,10.5000,nan,0.0000e+00
0.2500,10.5000,nan,0.0000e+00
0.3500,10.5000,nan,0.0000e+00
0.4500,10.5000,nan,0.0000e+00
0.5500,10.5000,nan,0.0000e+00
0.6500,10.5000,nan,0.0000e+00
0.7500,10.5000,nan,0.0000e+00
0.8500,10.5000,nan,0.0000e+00
0.9500,10.5000,nan,0.0000e+00
1.0500,10.5000,nan,0.0000e+00
1.1500,10.5000,nan,0.0000e+00
1.2500,10.5000,nan,0.0000e+00
1.3500,10.5000,nan,0.0000e+00
1.4500,10.5000,nan,0.0000e+00
1.5500,10.5000,nan,0.0000e+00
1.6500,10.5000,nan,0.0000e+00
1.7500,10.5000,nan,0.0000e+00
1.8500,10.5000,nan,0.0000e+00
1.9500,10.5000,nan,0.0000e+00
2.0500,10.5000,nan,0.0000e+00
2.1500,10.5000,nan,0.0000e+00
2.2500,10.5000,nan,0.0000e+00
2.3500,10.5000,nan,0.0000e+00
2.4500,10.5000,nan,0.0000e+00
2.5500,10.5000,4.4418e+00,9.8200e+02
2.6500,10.5000,2.7250e+01,1.3150e+03
2.7500,10.5000,1.5019e+01,1.5710e+03
2.8500,10.5000,2.0303e+01,1.9050e+03
2.9500,10.5000,3.7623e+01,2.2590e+03
3.0500,10.5000,4.7146e+01,2.7270e+03
3.1500,10.5000,9.4061e+01,3.0720e+03
3.2500,10.5000,1.1763e+02,3.5340e+03
3.3500,10.5000,2.2457e+02,3.9810e+03
3.4500,10.5000,3.5830e+02,4.3250e+03
3.5500,10.5000,4.1025e+02,4.7070e+03
3.6500,10.5000,5.4041e+02,5.2790e+03
3.7500,10.5000,8.3076e+02,6.1110e+03
3.8500,10.5000,7.9845e+02,6.8940e+03
3.9500,10.5000,1.0694e+03,7.5630e+03
4.0500,10.5000,1.8034e+03,8.2370e+03
4.1500,10.5000,1.9225e+03,9.8800e+03
4.2500,10.5000,1.4028e+03,1.1475e+04
4.3500,10.5000,1.5672e+03,1.3488e+04
4.4500,10.5000,1.3392e+03,1.5958e+04
4.5500,10.5000,1.7154e+03,1.8491e+04
4.6500,10.5000,1.5771e+03,2.1551e+04
4.7500,10.5000,1.7263e+03,2.2738e+04
4.8500,10.5000,1.6484e+03,2.0381e+04
4.9500,10.5000,1.8961e+03,1.3577e+04
5.0500,10.5000,2.7747e+03,9.7890e+03
5.1500,10.5000,nan,0.0000e+00
5.2500,10.5000,nan,0.0000e+00
5.3500,10.5000,nan,0.0000e+00
5.4500,10.5000,nan,0.0000e+00
5.5500,10.5000,nan,0.0000e+00
