# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4c
# L*,|MLAT|,Intensity,Counts
1.7500,7.5000,nan,0.0000e+00
1.8500,7.5000,nan,0.0000e+00
1.9500,7.5000,nan,0.0000e+00
2.0500,7.5000,nan,0.0000e+00
2.1500,7.5000,nan,0.0000e+00
2.2500,7.5000,nan,0.0000e+00
2.3500,7.5000,nan,0.0000e+00
2.4500,7.5000,nan,0.0000e+00
2.5500,7.5000,0.0000e+00,8.4000e+01
2.6500,7.5000,0.0000e+00,1.1600e+02
2.7500,7.5000,0.0000e+00,1.6100e+02
2.8500,7.5000,0.0000e+00,2.6500e+02
2.9500,7.5000,0.0000e+00,3.5100e+02
3.0500,7.5000,0.0000e+00,4.0600e+02
3.1500,7.5000,0.0000e+00,4.1300e+02
3.2500,7.5000,5.5203e-03,4.6700e+02
3.3500,7.5000,2.1710e+01,6.1800e+02
3.4500,7.5000,1.1094e+02,5.8700e+02
3.5500,7.5000,3.0555e+02,6.1400e+02
3.6500,7.5000,2.7902e+02,6.8700e+02
3.7500,7.5000,3.7656e+02,8.4000e+02
3.8500,7.5000,2.5420e+02,9.5700e+02
3.9500,7.5000,1.3649e+02,1.3590e+03
4.0500,7.5000,7.8457e+01,1.4740e+03
4.1500,7.5000,2.5746e+01,1.7230e+03
4.2500,7.5000,2.9171e+01,1.8550e+03
4.3500,7.5000,3.2918e+01,1.9780e+03
4.4500,7.5000,3.7741e+01,1.9070e+03
4.5500,7.5000,1.0221e+02,2.0810e+03
4.6500,7.5000,9.7535e+01,1.5280e+03
4.7500,7.5000,5.8379e+01,3.8830e+03
4.8500,7.5000,2.7562e+01,3.6120e+03
4.9500,7.5000,4.1774e+01,2.5740e+03
5.0500,7.5000,1.0248e+01,1.2210e+03
5.1500,7.5000,nan,0.0000e+00
5.2500,7.5000,nan,0.0000e+00
5.3500,7.5000,nan,0.0000e+00
5.4500,7.5000,nan,0.0000e+00
5.5500,7.5000,nan,0.0000e+00
5.6500,7.5000,nan,0.0000e+00
5.7500,7.5000,nan,0.0000e+00
5.8500,7.5000,nan,0.0000e+00
5.9500,7.5000,nan,0.0000e+00
0.0500,10.5000,nan,0.0000e+00
0.1500,10.5000,nan,0.0000e+00
0.2500,10.5000,nan,0.0000e+00
0.3500,10.5000,nan,0.0000e+00
0.4500,10.5000,nan,0.0000e+00
0.5500,10.5000,nan,0.0000e+00
0.6500,10.5000,nan,0.0000e+00
0.7500,10.5000,nan,0.0000e+00
0.8500,10.5000,nan,0.0000e+00
0.9500,10.5000,nan,0.0000e+00
1.0500,10.5000,nan,0.0000e+00
1.1500,10.5000,nan,0.0000e+00
1.2500,10.5000,nan,0.0000e+00
1.3500,10.5000,nan,0.0000e+00
1.4500,10.5000,nan,0.0000e+00
1.5500,10.5000,nan,0.0000e+00
1.6500,10.5000,nan,0.0000e+00
1.7500,10.5000,nan,0.0000e+00
1.8500,10.5000,nan,0.0000e+00
1.9500,10.5000,nan,0.0000e+00
2.0500,10.5000,nan,0.0000e+00
2.1500,10.5000,nan,0.0000e+00
2.2500,10.5000,nan,0.0000e+00
2.3500,10.5000,nan,0.0000e+00
2.4500,10.5000,nan,0.0000e+00
2.5500,10.5000,0.0000e+00,7.0000e+01
2.6500,10.5000,0.0000e+00,1.5700e+02
2.7500,10.5000,0.0000e+00,1.9100e+02
2.8500,10.5000,0.0000e+00,2.0800e+02
2.9500,10.5000,0.0000e+00,2.5700e+02
3.0500,10.5000,1.3345e-02,3.2900e+02
3.1500,10.5000,4.6541e+00,3.5400e+02
3.2500,10.5000,1.8712e+01,4.6100e+02
3.3500,10.5000,8.5429e+01,5.1400e+02
3.4500,10.5000,2.0790e+02,6.6100e+02
3.5500,10.5000,1.1580e+02,7.5400e+02
3.6500,10.5000,4.1961e+01,8.4100e+02
3.7500,10.5000,3.3410e+01,9.0500e+02
3.8500,10.5000,3.1377e+01,9.0900e+02
3.9500,10.5000,6.1472e+01,7.9300e+02
4.0500,10.5000,9.4287e+01,8.9600e+02
4.1500,10.5000,4.7950e+01,1.1150e+03
4.2500,10.5000,1.1411e+02,1.3760e+03
4.3500,10.5000,7.1214e+01,1.7790e+03
4.4500,10.5000,1.0327e+02,1.6430e+03
4.5500,10.5000,5.3597e+01,2.4230e+03
4.6500,10.5000,2.1922e+01,3.3440e+03
4.7500,10.5000,1.5083e+01,2.4660e+03
4.8500,10.5000,2.4446e+02,1.8460e+03
4.9500,10.5000,7.2668e+01,1.5330e+03
5.0500,10.5000,1.1073e+02,1.1910e+03
5.1500,10.5000,nan,0.0000e+00
5.2500,10.5000,nan,0.0000e+00
5.3500,10.5000,nan,0.0000e+00
5.4500,10.5000,nan,0.0000e+00
5.5500,10.5000,nan,0.0000e+00
