# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4d
# L*,|MLAT|,Intensity,Counts
1.7500,7.5000,nan,0.0000e+00
1.8500,7.5000,nan,0.0000e+00
1.9500,7.5000,nan,0.0000e+00
2.0500,7.5000,nan,0.0000e+00
2.1500,7.5000,nan,0.0000e+00
2.2500,7.5000,nan,0.0000e+00
2.3500,7.5000,nan,0.0000e+00
2.4500,7.5000,nan,0.0000e+00
2.5500,7.5000,0.0000e+00,9.8200e+02
2.6500,7.5000,0.0000e+00,1.3150e+03
2.7500,7.5000,0.0000e+00,1.5710e+03
2.8500,7.5000,0.0000e+00,1.9050e+03
2.9500,7.5000,0.0000e+00,2.2590e+03
3.0500,7.5000,4.0017e-01,2.7270e+03
3.1500,7.5000,3.3438e+00,3.0720e+03
3.2500,7.5000,8.1523e+00,3.5340e+03
3.3500,7.5000,3.7456e+01,3.9810e+03
3.4500,7.5000,8.8277e+01,4.3250e+03
3.5500,7.5000,6.8813e+01,4.7070e+03
3.6500,7.5000,1.2009e+02,5.2790e+03
3.7500,7.5000,1.3646e+02,6.1110e+03
3.8500,7.5000,9.9284e+01,6.8940e+03
3.9500,7.5000,7.8028e+01,7.5630e+03
4.0500,7.5000,1.1857e+02,8.2370e+03
4.1500,7.5000,1.1427e+02,9.8800e+03
4.2500,7.5000,9.1317e+01,1.1475e+04
4.3500,7.5000,6.2174e+01,1.3488e+04
4.4500,7.5000,5.2259e+01,1.5958e+04
4.5500,7.5000,6.2580e+01,1.8491e+04
4.6500,7.5000,6.6050e+01,2.1551e+04
4.7500,7.5000,4.9429e+01,2.2738e+04
4.8500,7.5000,1.0868e+02,2.0381e+04
4.9500,7.5000,3.8948e+01,1.3577e+04
5.0500,7.5000,2.9805e+01,9.7890e+03
5.1500,7.5000,nan,0.0000e+00
5.2500,7.5000,nan,0.0000e+00
5.3500,7.5000,nan,0.0000e+00
5.4500,7.5000,nan,0.0000e+00
5.5500,7.5000,nan,0.0000e+00
5.6500,7.5000,nan,0.0000e+00
5.7500,7.5000,nan,0.0000e+00
5.8500,7.5000,nan,0.0000e+00
5.9500,7.5000,nan,0.0000e+00
0.0500,10.5000,nan,0.0000e+00
0.1500,10.5000,nan,0.0000e+00
0.2500,10.5000,nan,0.0000e+00
0.3500,10.5000,nan,0.0000e+00
0.4500,10.5000,nan,0.0000e+00
0.5500,10.5000,nan,0.0000e+00
0.6500,10.5000,nan,0.0000e+00
0.7500,10.5000,nan,0.0000e+00
0.8500,10.5000,nan,0.0000e+00
0.9500,10.5000,nan,0.0000e+00
1.0500,10.5000,nan,0.0000e+00
1.1500,10.5000,nan,0.0000e+00
1.2500,10.5000,nan,0.0000e+00
1.3500,10.5000,nan,0.0000e+00
1.4500,10.5000,nan,0.0000e+00
1.5500,10.5000,nan,0.0000e+00
1.6500,10.5000,nan,0.0000e+00
1.7500,10.5000,nan,0.0000e+00
1.8500,10.5000,nan,0.0000e+00
1.9500,10.5000,nan,0.0000e+00
2.0500,10.5000,nan,0.0000e+00
2.1500,10.5000,nan,0.0000e+00
2.2500,10.5000,nan,0.0000e+00
2.3500,10.5000,nan,0.0000e+00
2.4500,10.5000,nan,0.0000e+00
2.5500,10.5000,0.0000e+00,9.8200e+02
2.6500,10.5000,0.0000e+00,1.3150e+03
2.7500,10.5000,0.0000e+00,1.5710e+03
2.8500,10.5000,0.0000e+00,1.9050e+03
2.9500,10.5000,0.0000e+00,2.2590e+03
3.0500,10.5000,4.3236e-01,2.7270e+03
3.1500,10.5000,3.6180e+00,3.0720e+03
3.2500,10.5000,9.2204e+00,3.5340e+03
3.3500,10.5000,4.1930e+01,3.9810e+03
3.4500,10.5000,9.7801e+01,4.3250e+03
3.5500,10.5000,7.9630e+01,4.7070e+03
3.6500,10.5000,1.4913e+02,5.2790e+03
3.7500,10.5000,1.8737e+02,6.1110e+03
3.8500,10.5000,1.2718e+02,6.8940e+03
3.9500,10.5000,1.3062e+02,7.5630e+03
4.0500,10.5000,9.4295e+01,8.2370e+03
4.1500,10.5000,6.9973e+01,9.8800e+03
4.2500,10.5000,6.7016e+01,1.1475e+04
4.3500,10.5000,5.0333e+01,1.3488e+04
4.4500,10.5000,4.3096e+01,1.5958e+04
4.5500,10.5000,5.3847e+01,1.8491e+04
4.6500,10.5000,5.8119e+01,2.1551e+04
4.7500,10.5000,3.8165e+01,2.2738e+04
4.8500,10.5000,8.7405e+01,2.0381e+04
4.9500,10.5000,3.4288e+01,1.3577e+04
5.0500,10.5000,2.5930e+01,9.7890e+03
5.1500,10.5000,nan,0.0000e+00
5.2500,10.5000,nan,0.0000e+00
5.3500,10.5000,nan,0.0000e+00
5.4500,10.5000,nan,0.0000e+00
5.5500,10.5000,nan,0.0000e+00
