# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16g for E = 1000.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
34.3110,4.7584e-09,2.7824e-06,2.9353e-07,2.1163e-07,1.4062e-07,5.4820e-08,1.0257e-08,2.2068e-09,4.1913e-09,3.0557e-07
35.3060,4.9533e-09,2.9844e-06,3.0778e-07,2.2135e-07,1.5146e-07,5.6582e-08,1.1020e-08,2.2467e-09,4.4521e-09,3.1736e-07
36.3000,5.1746e-09,3.1799e-06,3.2337e-07,2.3184e-07,1.6397e-07,5.8701e-08,1.1822e-08,2.2794e-09,4.6329e-09,3.2903e-07
37.2940,5.4612e-09,3.3876e-06,3.4560e-07,2.4511e-07,1.7647e-07,6.1472e-08,1.2756e-08,2.3346e-09,4.7946e-09,3.4149e-07
38.2890,5.8606e-09,3.5327e-06,3.6883e-07,2.6170e-07,1.8921e-07,6.5574e-08,1.3811e-08,2.5885e-09,5.0569e-09,3.5459e-07
39.2830,6.4214e-09,3.6692e-06,3.8623e-07,2.7705e-07,2.0107e-07,7.0096e-08,1.5060e-08,2.9243e-09,5.4238e-09,3.6617e-07
40.2780,7.1904e-09,3.8185e-06,3.9373e-07,2.8621e-07,2.1050e-07,7.3673e-08,1.6162e-08,3.3047e-09,5.8537e-09,3.7138e-07
41.2720,8.2150e-09,4.0259e-06,4.0467e-07,2.9856e-07,2.2478e-07,7.7642e-08,1.7508e-08,3.8792e-09,7.0444e-09,3.7932e-07
42.2670,9.5496e-09,4.3882e-06,4.4044e-07,3.2127e-07,2.4804e-07,8.3720e-08,1.8991e-08,4.4819e-09,9.0027e-09,3.9666e-07
43.2610,1.1290e-08,4.6292e-06,4.7081e-07,3.4864e-07,2.8356e-07,1.0059e-07,2.1018e-08,4.6308e-09,1.0063e-08,4.1650e-07
44.2560,1.3581e-08,4.6647e-06,4.8241e-07,3.5630e-07,2.9209e-07,1.0782e-07,2.3499e-08,5.3067e-09,1.0053e-08,4.2211e-07
45.2500,1.6635e-08,4.6847e-06,4.8151e-07,3.5592e-07,2.9384e-07,1.0858e-07,2.5282e-08,5.2982e-09,9.8980e-09,4.2147e-07
46.2440,2.0787e-08,4.7213e-06,4.8072e-07,3.5751e-07,2.9629e-07,1.1039e-07,2.7480e-08,5.2730e-09,1.0032e-08,4.2159e-07
47.2390,2.6519e-08,4.9325e-06,4.9269e-07,3.6286e-07,3.0226e-07,1.1218e-07,2.8995e-08,5.1876e-09,9.9459e-09,4.2187e-07
48.2330,3.4649e-08,5.1801e-06,5.1073e-07,3.8069e-07,3.2496e-07,1.1992e-07,2.9813e-08,5.1712e-09,9.7336e-09,4.2630e-07
49.2280,4.5967e-08,5.2665e-06,5.1754e-07,3.8142e-07,3.2769e-07,1.2637e-07,4.0387e-08,5.1175e-09,9.7357e-09,4.3032e-07
50.2220,6.0701e-08,5.3737e-06,5.1722e-07,3.7927e-07,3.2924e-07,1.2730e-07,3.6529e-08,5.2136e-09,9.7487e-09,4.1946e-07
51.2170,7.9431e-08,5.5117e-06,5.1988e-07,3.8191e-07,3.3105e-07,1.3153e-07,3.2310e-08,5.2349e-09,9.7899e-09,4.1537e-07
52.2110,1.0397e-07,5.5425e-06,5.1280e-07,3.9087e-07,3.3406e-07,1.3986e-07,2.8473e-08,5.2217e-09,9.9000e-09,4.1582e-07
53.2060,1.3302e-07,5.7484e-06,5.1905e-07,3.9997e-07,3.4556e-07,1.4744e-07,2.5381e-08,5.2628e-09,9.7354e-09,4.3222e-07
54.2000,1.6256e-07,6.5281e-06,5.4765e-07,4.1827e-07,3.7173e-07,1.7121e-07,1.5869e-08,5.3694e-09,9.7403e-09,4.5878e-07
55.1940,1.9423e-07,6.5359e-06,5.5605e-07,4.3427e-07,3.7246e-07,1.7368e-07,1.6294e-08,5.2430e-09,9.4980e-09,4.9131e-07
56.1890,2.3064e-07,6.5435e-06,5.6935e-07,4.5525e-07,3.7412e-07,1.7735e-07,1.6813e-08,5.1297e-09,9.2206e-09,5.2999e-07
57.1830,2.7360e-07,6.5605e-06,5.8692e-07,4.8403e-07,3.7631e-07,1.8634e-07,1.7330e-08,4.9412e-09,8.9253e-09,5.7981e-07
58.1780,3.2011e-07,6.6357e-06,6.1825e-07,5.2322e-07,3.7817e-07,1.9644e-07,1.8724e-08,4.7124e-09,8.5106e-09,6.5358e-07
59.1720,3.7426e-07,6.7221e-06,6.5564e-07,5.7439e-07,3.8946e-07,2.1438e-07,1.9605e-08,4.5246e-09,7.9028e-09,7.4501e-07
60.1670,4.3260e-07,6.7622e-06,6.7806e-07,6.2783e-07,3.9205e-07,2.2578e-07,2.1430e-08,4.2481e-09,7.4013e-09,8.2596e-07
61.1610,4.8199e-07,6.7044e-06,7.0023e-07,6.7952e-07,3.9416e-07,2.3206e-07,2.2107e-08,4.0815e-09,6.9528e-09,8.9875e-07
62.1560,8.3901e-07,6.6440e-06,7.4111e-07,7.4612e-07,3.9889e-07,2.3966e-07,2.3267e-08,3.9265e-09,6.4929e-09,1.1588e-06
63.1500,1.2876e-06,6.6692e-06,8.0863e-07,8.3911e-07,4.0675e-07,2.5409e-07,2.4646e-08,3.6746e-09,6.0269e-09,1.5886e-06
64.1440,1.6665e-06,6.3670e-06,9.8881e-07,1.0655e-06,4.1634e-07,2.6770e-07,2.7504e-08,3.3727e-09,5.0606e-09,2.0154e-06
65.1390,2.6571e-06,6.6679e-06,1.1312e-06,1.4500e-06,4.1245e-07,2.8404e-07,3.1286e-08,3.2189e-09,4.2384e-09,2.8729e-06
66.1330,2.6849e-06,6.7633e-06,1.1705e-06,1.4646e-06,4.2582e-07,2.9790e-07,3.3359e-08,2.8111e-09,3.8347e-09,2.9215e-06
67.1280,2.7331e-06,6.8444e-06,1.1878e-06,1.4651e-06,4.4473e-07,3.1262e-07,3.6323e-08,2.9546e-09,3.8776e-09,2.9725e-06
68.1220,2.2436e-06,7.2616e-06,1.1873e-06,1.4486e-06,4.6673e-07,3.2905e-07,4.0436e-08,3.1731e-09,3.9218e-09,2.7242e-06
69.1170,2.0777e-06,7.7008e-06,1.2215e-06,1.4163e-06,4.8867e-07,3.5278e-07,4.6000e-08,3.4728e-09,3.9908e-09,2.6704e-06
70.1110,1.8817e-06,7.8278e-06,1.3763e-06,1.1882e-06,5.0970e-07,3.7525e-07,5.4730e-08,3.8815e-09,4.0624e-09,2.5312e-06
