# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16d for E = 50.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
34.3110,6.5443e-06,7.0475e-05,1.6537e-05,1.5668e-05,8.4670e-06,4.7038e-06,9.3499e-07,1.3079e-07,3.3409e-07,1.7858e-05
35.3060,6.9163e-06,7.4459e-05,1.7498e-05,1.6492e-05,9.1337e-06,5.1259e-06,9.9978e-07,1.3763e-07,3.4877e-07,1.8863e-05
36.3000,7.3005e-06,7.8518e-05,1.8472e-05,1.7276e-05,9.8377e-06,5.5783e-06,1.0679e-06,1.4445e-07,3.6215e-07,1.9875e-05
37.2940,7.6447e-06,8.2651e-05,1.9457e-05,1.8028e-05,1.0568e-05,6.0637e-06,1.1423e-06,1.5227e-07,3.7470e-07,2.0870e-05
38.2890,7.9237e-06,8.6816e-05,2.0453e-05,1.8757e-05,1.1322e-05,6.5794e-06,1.2207e-06,1.6325e-07,3.8789e-07,2.1835e-05
39.2830,8.1535e-06,9.1014e-05,2.1461e-05,1.9448e-05,1.2108e-05,7.1258e-06,1.3014e-06,1.7630e-07,4.0134e-07,2.2774e-05
40.2780,8.3471e-06,9.5265e-05,2.2411e-05,2.0091e-05,1.2936e-05,7.7060e-06,1.3854e-06,1.9044e-07,4.1796e-07,2.3681e-05
41.2720,8.4999e-06,9.9563e-05,2.3326e-05,2.0684e-05,1.3823e-05,8.3314e-06,1.4720e-06,2.0126e-07,4.3527e-07,2.4543e-05
42.2670,8.6033e-06,1.0390e-04,2.4229e-05,2.1221e-05,1.4718e-05,9.0163e-06,1.5665e-06,2.0807e-07,4.4639e-07,2.5333e-05
43.2610,8.6476e-06,1.0824e-04,2.5117e-05,2.1705e-05,1.5639e-05,9.7113e-06,1.6726e-06,2.1793e-07,4.5666e-07,2.6038e-05
