# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16h for E = 5000.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
34.3110,2.7187e-11,2.2571e-07,1.8780e-08,1.2629e-08,8.2151e-09,3.1390e-09,3.5270e-10,1.0264e-10,2.1741e-10,1.2585e-08
35.3060,2.4460e-11,2.2460e-07,1.8838e-08,1.2347e-08,8.0410e-09,3.0187e-09,3.6801e-10,9.7607e-11,2.1149e-10,1.3329e-08
36.3000,2.8633e-11,2.2085e-07,1.8498e-08,1.2316e-08,7.9734e-09,2.9361e-09,3.8593e-10,9.5226e-11,2.0781e-10,1.4332e-08
37.2940,3.7633e-11,2.2190e-07,1.8387e-08,1.2417e-08,8.2439e-09,2.8921e-09,4.1806e-10,9.7031e-11,2.0850e-10,1.5946e-08
38.2890,4.7344e-11,2.2299e-07,1.9306e-08,1.3112e-08,8.6237e-09,2.9570e-09,4.4782e-10,1.0269e-10,2.1723e-10,1.8167e-08
39.2830,5.4581e-11,2.2813e-07,1.9344e-08,1.3812e-08,9.3745e-09,3.0628e-09,4.9106e-10,1.1097e-10,2.3558e-10,2.0878e-08
40.2780,5.9994e-11,2.2712e-07,1.9247e-08,1.3842e-08,9.6501e-09,3.1477e-09,5.3196e-10,1.2162e-10,2.6060e-10,2.3764e-08
41.2720,6.8264e-11,2.2298e-07,1.9449e-08,1.4095e-08,1.0200e-08,3.3554e-09,5.8568e-10,1.4022e-10,3.0560e-10,2.8133e-08
42.2670,8.5949e-11,2.2668e-07,2.0084e-08,1.4747e-08,1.1513e-08,3.7014e-09,6.5689e-10,1.7092e-10,3.7902e-10,3.5207e-08
43.2610,1.1886e-10,2.4623e-07,2.2095e-08,1.6438e-08,1.3159e-08,4.3140e-09,7.5377e-10,2.2200e-10,4.9306e-10,4.4797e-08
44.2560,1.7252e-10,2.4609e-07,2.2823e-08,1.6998e-08,1.4616e-08,4.7413e-09,8.3837e-10,2.3997e-10,5.4059e-10,5.5661e-08
45.2500,2.5509e-10,2.3601e-07,2.2092e-08,1.6481e-08,1.4299e-08,4.6449e-09,8.9472e-10,2.3201e-10,5.2186e-10,6.8029e-08
46.2440,3.8478e-10,2.2793e-07,2.1903e-08,1.6081e-08,1.4146e-08,4.6260e-09,9.7468e-10,2.2604e-10,5.0472e-10,8.3953e-08
47.2390,5.8869e-10,2.2057e-07,2.1694e-08,1.5836e-08,1.4107e-08,4.6581e-09,1.0878e-09,2.1937e-10,4.8839e-10,1.0166e-07
48.2330,9.0631e-10,2.2273e-07,2.2107e-08,1.6031e-08,1.4485e-08,4.8339e-09,1.3151e-09,2.1539e-10,4.7231e-10,1.3148e-07
49.2280,1.3572e-09,2.2108e-07,2.2099e-08,1.5934e-08,1.4635e-08,4.9450e-09,1.4209e-09,2.1124e-10,4.6110e-10,1.5757e-07
50.2220,1.9628e-09,2.1291e-07,2.1967e-08,1.5472e-08,1.4510e-08,4.9641e-09,1.2636e-09,2.0869e-10,4.5100e-10,1.4802e-07
51.2170,2.7390e-09,2.2875e-07,2.1647e-08,1.5440e-08,1.4600e-08,5.0748e-09,1.1028e-09,2.0641e-10,4.4028e-10,1.3645e-07
52.2110,4.0009e-09,2.3190e-07,2.1736e-08,1.5494e-08,1.4898e-08,5.3278e-09,9.2253e-10,2.0489e-10,4.2798e-10,1.2335e-07
53.2060,5.8982e-09,2.6546e-07,2.2037e-08,1.5815e-08,1.5347e-08,5.7581e-09,7.0412e-10,2.0380e-10,4.1336e-10,1.0360e-07
54.2000,7.6054e-09,3.0058e-07,2.3115e-08,1.6292e-08,1.5737e-08,6.2686e-09,4.0849e-10,2.0383e-10,3.9961e-10,6.8589e-08
