# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16f for E = 500.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
34.3110,4.5306e-08,6.6436e-06,7.3503e-07,5.6178e-07,3.9888e-07,1.4901e-07,3.5419e-08,7.6199e-09,1.4082e-08,4.5301e-07
35.3060,5.2165e-08,7.1499e-06,7.9430e-07,6.0184e-07,4.3074e-07,1.5977e-07,3.8842e-08,8.3610e-09,1.4661e-08,4.9133e-07
36.3000,6.0138e-08,7.7052e-06,8.6105e-07,6.5036e-07,4.6571e-07,1.7131e-07,4.2482e-08,9.2271e-09,1.5814e-08,5.3593e-07
37.2940,6.9449e-08,8.2721e-06,9.3435e-07,7.0839e-07,5.0685e-07,1.8327e-07,4.6204e-08,1.0319e-08,1.8156e-08,5.8619e-07
38.2890,8.0241e-08,8.8150e-06,9.9528e-07,7.6249e-07,5.6113e-07,1.9723e-07,5.0250e-08,1.1507e-08,2.0855e-08,6.3610e-07
39.2830,9.2519e-08,9.3103e-06,1.0503e-06,8.0415e-07,6.0927e-07,2.1506e-07,5.5308e-08,1.3290e-08,2.4446e-08,6.8304e-07
40.2780,1.0633e-07,9.7818e-06,1.1077e-06,8.4347e-07,6.5166e-07,2.3653e-07,5.9809e-08,1.4178e-08,2.8580e-08,7.3295e-07
41.2720,1.2169e-07,1.0395e-05,1.1717e-06,8.8451e-07,6.8347e-07,2.6274e-07,6.5303e-08,1.4431e-08,3.2779e-08,7.8792e-07
42.2670,1.3859e-07,1.1090e-05,1.2760e-06,9.5361e-07,7.1063e-07,2.8463e-07,7.1436e-08,1.4745e-08,3.4462e-08,8.6001e-07
43.2610,1.5690e-07,1.1770e-05,1.3608e-06,1.0486e-06,7.7541e-07,3.1143e-07,7.6440e-08,1.4882e-08,3.5192e-08,9.4768e-07
44.2560,1.7642e-07,1.2399e-05,1.4027e-06,1.0820e-06,8.1324e-07,3.2605e-07,8.2491e-08,1.6604e-08,3.6718e-08,1.0020e-06
45.2500,1.9732e-07,1.3003e-05,1.4497e-06,1.1142e-06,8.4868e-07,3.3637e-07,8.4387e-08,1.6627e-08,3.5982e-08,1.0556e-06
46.2440,2.1989e-07,1.3620e-05,1.5056e-06,1.1477e-06,8.8476e-07,3.5214e-07,8.3584e-08,1.6744e-08,3.5177e-08,1.1093e-06
47.2390,2.4456e-07,1.4183e-05,1.5847e-06,1.1865e-06,9.1180e-07,3.7489e-07,8.1762e-08,1.6835e-08,3.4708e-08,1.1640e-06
48.2330,2.7278e-07,1.4610e-05,1.6335e-06,1.2406e-06,9.5565e-07,4.0744e-07,7.9612e-08,1.7029e-08,3.4805e-08,1.2259e-06
49.2280,3.0636e-07,1.5078e-05,1.6560e-06,1.2714e-06,9.7519e-07,4.2287e-07,1.3996e-07,1.6913e-08,3.4973e-08,1.3322e-06
50.2220,3.4646e-07,1.5763e-05,1.6738e-06,1.3073e-06,1.0019e-06,4.3476e-07,1.2929e-07,1.6901e-08,3.4768e-08,1.3716e-06
51.2170,3.9375e-07,1.6696e-05,1.7136e-06,1.3375e-06,1.0427e-06,4.5021e-07,1.2056e-07,1.6878e-08,3.4074e-08,1.4255e-06
52.2110,4.4821e-07,1.7429e-05,1.7270e-06,1.3979e-06,1.0973e-06,4.7923e-07,1.1348e-07,1.7288e-08,3.3406e-08,1.4930e-06
53.2060,5.1525e-07,1.7697e-05,1.8257e-06,1.4365e-06,1.1325e-06,5.3303e-07,1.0777e-07,1.7470e-08,3.2874e-08,1.5879e-06
54.2000,6.0786e-07,1.7891e-05,1.7862e-06,1.4622e-06,1.1623e-06,5.9310e-07,5.7048e-08,1.8532e-08,3.3591e-08,1.6248e-06
55.1940,7.4065e-07,1.8064e-05,1.8419e-06,1.5521e-06,1.1749e-06,6.1056e-07,5.8962e-08,1.8148e-08,3.3020e-08,1.7884e-06
56.1890,9.2959e-07,1.8264e-05,1.9085e-06,1.6581e-06,1.1880e-06,6.3234e-07,6.2174e-08,1.7632e-08,3.2050e-08,2.0009e-06
57.1830,1.1997e-06,1.8602e-05,1.9976e-06,1.7870e-06,1.2065e-06,6.5462e-07,6.5920e-08,1.7118e-08,3.0936e-08,2.2957e-06
58.1780,1.5856e-06,1.9072e-05,2.1314e-06,1.9571e-06,1.2374e-06,6.8863e-07,6.8426e-08,1.6511e-08,2.9301e-08,2.6943e-06
59.1720,2.1365e-06,1.9463e-05,2.3062e-06,2.1711e-06,1.2854e-06,7.8594e-07,7.4966e-08,1.5985e-08,2.8203e-08,3.2189e-06
60.1670,2.8889e-06,1.9886e-05,2.4270e-06,2.4395e-06,1.3052e-06,8.1255e-07,8.3327e-08,1.4918e-08,2.6350e-08,3.8771e-06
61.1610,3.9862e-06,2.0458e-05,2.5544e-06,2.7758e-06,1.3266e-06,8.4216e-07,8.6934e-08,1.4306e-08,2.5138e-08,4.7878e-06
62.1560,5.9717e-06,2.1559e-05,2.6911e-06,3.1362e-06,1.3520e-06,8.7942e-07,9.2230e-08,1.3677e-08,2.3473e-08,6.3979e-06
63.1500,7.2410e-06,2.1780e-05,2.8979e-06,3.5035e-06,1.3831e-06,9.1464e-07,1.0124e-07,1.3143e-08,2.1105e-08,7.6333e-06
64.1440,7.9174e-06,2.1681e-05,3.2384e-06,4.2165e-06,1.4262e-06,9.5469e-07,1.1125e-07,1.3223e-08,1.9377e-08,8.6771e-06
65.1390,7.8153e-06,2.2117e-05,3.3825e-06,4.6004e-06,1.4410e-06,1.0406e-06,1.3263e-07,1.2399e-08,1.9170e-08,8.8558e-06
66.1330,7.3913e-06,2.2755e-05,3.4283e-06,4.6446e-06,1.4923e-06,1.0844e-06,1.4421e-07,1.1337e-08,1.4234e-08,8.6518e-06
67.1280,6.2697e-06,2.3561e-05,3.5525e-06,4.6990e-06,1.5420e-06,1.1411e-06,1.5897e-07,1.2102e-08,1.4443e-08,8.0942e-06
68.1220,4.9581e-06,2.5860e-05,3.7628e-06,4.7281e-06,1.5938e-06,1.2022e-06,1.7904e-07,1.3109e-08,1.4637e-08,7.4256e-06
69.1170,3.9740e-06,2.6623e-05,4.6393e-06,4.6817e-06,1.6479e-06,1.2626e-06,2.0512e-07,1.4545e-08,1.4845e-08,7.0912e-06
70.1110,3.4353e-06,2.7047e-05,5.1371e-06,3.9365e-06,1.7218e-06,1.3261e-06,2.3695e-07,1.6607e-08,1.5070e-08,6.7029e-06
71.1060,3.4879e-06,2.7199e-05,5.4562e-06,4.1132e-06,1.8675e-06,1.4435e-06,2.8614e-07,1.9290e-08,1.5464e-08,6.9685e-06
72.1000,2.8263e-06,2.6316e-05,5.4192e-06,4.0187e-06,1.9535e-06,1.4865e-06,3.3314e-07,2.2189e-08,1.5879e-08,6.5459e-06
73.0940,2.4713e-06,2.2912e-05,5.3750e-06,3.7492e-06,2.0390e-06,1.5339e-06,3.9059e-07,2.6084e-08,1.6861e-08,5.9929e-06
74.0890,2.1768e-06,2.0444e-05,5.3196e-06,3.5134e-06,2.0811e-06,1.6013e-06,4.7342e-07,3.1394e-08,1.8006e-08,5.4891e-06
75.0830,2.1267e-06,1.8202e-05,3.9154e-06,3.3964e-06,2.0656e-06,1.7093e-06,5.6019e-07,3.7617e-08,1.9194e-08,4.5750e-06
76.0780,1.8845e-06,1.6516e-05,3.3211e-06,2.7277e-06,2.0982e-06,1.8733e-06,6.3816e-07,4.4761e-08,2.1287e-08,3.8496e-06
77.0720,3.7498e-07,1.6036e-05,3.0612e-06,2.4623e-06,2.1211e-06,2.1413e-06,8.7630e-07,5.2159e-08,2.3132e-08,3.0643e-06
78.0670,1.5953e-07,1.4164e-05,3.2079e-06,2.6951e-06,2.1710e-06,2.1883e-06,1.0359e-06,6.0478e-08,2.4161e-08,2.8902e-06
79.0610,3.0187e-07,1.4023e-05,3.4845e-06,3.0094e-06,2.2911e-06,1.8791e-06,1.1697e-06,7.2595e-08,2.4083e-08,2.9534e-06
80.0560,5.0409e-07,1.5181e-05,4.5567e-06,3.4882e-06,2.4428e-06,1.5645e-06,1.2017e-06,8.8845e-08,2.3860e-08,3.3215e-06
81.0500,7.6390e-07,1.2312e-05,3.4208e-06,5.7743e-06,2.6542e-06,1.5033e-06,1.1285e-06,9.3866e-08,2.3083e-08,3.6655e-06
82.0440,1.0793e-06,1.1363e-05,2.4362e-06,8.9909e-06,3.0938e-06,1.5552e-06,1.1152e-06,8.6685e-08,2.1585e-08,4.0473e-06
83.0390,1.3399e-06,8.5732e-06,2.3289e-06,1.1353e-05,4.0760e-06,2.1495e-06,1.5021e-06,7.6565e-08,1.9287e-08,4.6814e-06
84.0330,1.4070e-06,7.4640e-06,2.6381e-06,8.1031e-06,5.3301e-06,2.5744e-06,1.7886e-06,1.4019e-07,1.5539e-08,4.8073e-06
85.0280,1.2381e-06,7.1746e-06,2.9108e-06,3.8129e-06,4.2561e-06,3.8043e-06,1.9422e-06,1.4993e-07,1.4521e-08,4.5812e-06
86.0220,9.5548e-07,6.0712e-06,3.1257e-06,2.0980e-06,2.0357e-06,3.8985e-06,2.4426e-06,1.5961e-07,1.6190e-08,4.1134e-06
87.0170,6.3282e-07,3.3197e-06,3.1946e-06,1.4330e-06,6.4676e-07,1.1087e-06,2.9991e-06,2.1061e-07,2.1505e-08,3.1911e-06
88.0110,1.9662e-07,4.8150e-07,3.0257e-06,1.0752e-06,4.0424e-07,4.8062e-07,1.5859e-07,2.4024e-07,3.5427e-08,1.6590e-06
89.0060,7.2838e-08,4.9490e-08,2.1427e-06,9.4923e-07,4.5271e-07,1.5358e-07,1.7969e-08,3.4305e-09,3.6522e-08,1.4118e-06
