# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16e for E = 100.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
34.3110,7.5558e-06,4.3184e-05,6.4327e-06,7.6877e-06,3.4226e-06,1.6045e-06,4.1856e-07,6.7940e-08,1.9291e-07,1.0890e-05
35.3060,8.0106e-06,4.6095e-05,6.9483e-06,8.3271e-06,3.6775e-06,1.7403e-06,4.4439e-07,7.3424e-08,2.0266e-07,1.1695e-05
36.3000,8.4410e-06,4.9021e-05,7.4962e-06,8.9946e-06,3.9441e-06,1.8878e-06,4.6843e-07,7.9347e-08,2.1363e-07,1.2515e-05
37.2940,8.8343e-06,5.1985e-05,8.0797e-06,9.6866e-06,4.2250e-06,2.0480e-06,4.9129e-07,8.3004e-08,2.2392e-07,1.3340e-05
38.2890,9.1791e-06,5.5019e-05,8.6963e-06,1.0400e-05,4.5150e-06,2.2217e-06,5.1458e-07,8.6616e-08,2.3189e-07,1.4162e-05
39.2830,9.4726e-06,5.8090e-05,9.3574e-06,1.1140e-05,4.8046e-06,2.4042e-06,5.3637e-07,8.9515e-08,2.3968e-07,1.4976e-05
40.2780,9.7136e-06,6.1203e-05,1.0047e-05,1.1919e-05,5.1027e-06,2.6012e-06,5.5807e-07,9.2472e-08,2.4597e-07,1.5777e-05
41.2720,9.9059e-06,6.4326e-05,1.0761e-05,1.2727e-05,5.4164e-06,2.8144e-06,5.7952e-07,9.7076e-08,2.5219e-07,1.6562e-05
42.2670,1.0062e-05,6.7321e-05,1.1502e-05,1.3561e-05,5.7787e-06,3.0574e-06,5.9500e-07,1.0463e-07,2.6049e-07,1.7344e-05
43.2610,1.0175e-05,7.0252e-05,1.2255e-05,1.4388e-05,6.1442e-06,3.3628e-06,6.1041e-07,1.1038e-07,2.6838e-07,1.8104e-05
44.2560,1.0243e-05,7.3104e-05,1.3004e-05,1.5167e-05,6.4910e-06,3.6404e-06,6.1576e-07,1.1798e-07,2.9096e-07,1.8798e-05
45.2500,1.0259e-05,7.5830e-05,1.3694e-05,1.5896e-05,6.8480e-06,3.9383e-06,6.2038e-07,1.2109e-07,2.9541e-07,1.9426e-05
46.2440,1.0218e-05,7.8429e-05,1.4355e-05,1.6580e-05,7.2158e-06,4.2579e-06,6.2508e-07,1.2408e-07,2.9935e-07,1.9995e-05
47.2390,1.0107e-05,8.0728e-05,1.5017e-05,1.7131e-05,7.6254e-06,4.6044e-06,6.3108e-07,1.2776e-07,3.0295e-07,2.0478e-05
48.2330,9.9608e-06,8.2685e-05,1.5685e-05,1.7551e-05,8.0231e-06,4.9928e-06,1.1680e-06,1.3280e-07,3.0791e-07,2.1404e-05
49.2280,9.8316e-06,8.4363e-05,1.6337e-05,1.7890e-05,8.4227e-06,5.3417e-06,1.3378e-06,1.3705e-07,3.0996e-07,2.1908e-05
50.2220,9.7408e-06,8.6179e-05,1.7023e-05,1.8042e-05,8.8030e-06,5.6947e-06,1.3884e-06,1.3684e-07,3.1232e-07,2.2251e-05
51.2170,9.7108e-06,8.7824e-05,1.7837e-05,1.8094e-05,9.1910e-06,6.0660e-06,1.4576e-06,1.4378e-07,3.1438e-07,2.2629e-05
52.2110,9.7130e-06,8.9652e-05,1.8728e-05,1.8253e-05,9.5827e-06,6.4583e-06,1.5414e-06,1.3565e-07,3.0836e-07,2.3100e-05
53.2060,9.7280e-06,9.1614e-05,1.9588e-05,1.8462e-05,1.0113e-05,6.9513e-06,1.4462e-06,1.4010e-07,3.0280e-07,2.3436e-05
54.2000,9.7349e-06,9.3693e-05,2.0376e-05,1.8617e-05,1.0652e-05,7.4043e-06,1.0122e-06,1.5188e-07,3.1824e-07,2.3374e-05
55.1940,9.7695e-06,9.5884e-05,2.1152e-05,1.8648e-05,1.1227e-05,7.8302e-06,1.1169e-06,1.4880e-07,3.0135e-07,2.3795e-05
56.1890,9.9312e-06,9.8232e-05,2.1889e-05,1.8578e-05,1.1839e-05,8.2318e-06,1.2183e-06,1.4959e-07,2.8961e-07,2.4212e-05
57.1830,1.0219e-05,1.0088e-04,2.2609e-05,1.8400e-05,1.2507e-05,8.6233e-06,1.3317e-06,1.5626e-07,2.7942e-07,2.4665e-05
58.1780,1.0394e-05,1.0342e-04,2.3259e-05,1.8155e-05,1.3298e-05,9.0963e-06,1.4746e-06,1.5365e-07,2.6650e-07,2.5087e-05
59.1720,1.0275e-05,1.0536e-04,2.3887e-05,1.8070e-05,1.4101e-05,9.7612e-06,1.7005e-06,1.5737e-07,2.5467e-07,2.5423e-05
60.1670,9.8170e-06,1.0629e-04,2.4504e-05,1.8133e-05,1.4918e-05,1.0308e-05,1.8953e-06,1.6078e-07,2.3922e-07,2.5476e-05
61.1610,9.1095e-06,1.0705e-04,2.4990e-05,1.8362e-05,1.5756e-05,1.0898e-05,2.1292e-06,1.6744e-07,2.4019e-07,2.5490e-05
62.1560,8.0321e-06,1.0692e-04,2.5789e-05,1.9195e-05,1.6569e-05,1.1473e-05,2.3911e-06,1.7299e-07,2.4398e-07,2.5444e-05
63.1500,6.7785e-06,1.0652e-04,2.6515e-05,2.0666e-05,1.7330e-05,1.2014e-05,2.6822e-06,1.8145e-07,2.4801e-07,2.5166e-05
64.1440,5.6436e-06,1.0492e-04,2.7285e-05,2.1705e-05,1.8041e-05,1.2686e-05,3.0180e-06,1.9335e-07,2.5340e-07,2.4824e-05
65.1390,4.7072e-06,1.0149e-04,2.8258e-05,2.2698e-05,1.8624e-05,1.3383e-05,3.4017e-06,1.8271e-07,1.9185e-07,2.4607e-05
66.1330,3.9160e-06,9.5570e-05,2.9512e-05,2.3702e-05,1.8973e-05,1.4136e-05,3.9073e-06,2.0041e-07,1.8290e-07,2.4386e-05
67.1280,3.1455e-06,8.8084e-05,3.0562e-05,2.4351e-05,1.8988e-05,1.4986e-05,4.5416e-06,2.2304e-07,1.8497e-07,2.4026e-05
68.1220,2.7507e-06,7.8972e-05,3.0955e-05,2.3773e-05,1.8718e-05,1.5901e-05,5.2528e-06,2.5435e-07,1.8704e-07,2.3522e-05
69.1170,2.1513e-06,6.9125e-05,3.1707e-05,2.3996e-05,1.8381e-05,1.6843e-05,6.0223e-06,3.0437e-07,1.8870e-07,2.3422e-05
70.1110,1.6039e-06,5.8892e-05,3.2271e-05,2.4055e-05,1.7671e-05,1.8152e-05,6.9898e-06,3.7032e-07,1.9017e-07,2.3536e-05
71.1060,1.0558e-06,4.8106e-05,3.2839e-05,2.3438e-05,1.6384e-05,1.9461e-05,8.1449e-06,4.5799e-07,1.8742e-07,2.3845e-05
72.1000,5.7511e-07,3.6593e-05,3.3275e-05,2.2392e-05,1.4955e-05,2.0786e-05,9.1645e-06,5.7484e-07,1.8756e-07,2.3932e-05
73.0940,4.1243e-07,2.5778e-05,3.4594e-05,2.1009e-05,1.3651e-05,2.2130e-05,1.0226e-05,7.1210e-07,1.8837e-07,2.3439e-05
74.0890,2.4603e-07,1.5636e-05,3.5042e-05,1.8730e-05,1.2196e-05,2.3247e-05,1.1167e-05,8.5755e-07,1.8773e-07,2.2633e-05
75.0830,7.8425e-08,1.0377e-05,3.8406e-05,1.5953e-05,1.0429e-05,2.3991e-05,1.1741e-05,1.0001e-06,1.8574e-07,2.2429e-05
76.0780,3.4084e-08,5.7538e-06,3.4644e-05,1.5665e-05,9.4485e-06,2.4096e-05,1.1837e-05,1.0665e-06,1.8395e-07,2.2171e-05
77.0720,2.6488e-08,3.4653e-06,3.1229e-05,1.9545e-05,8.7129e-06,2.3287e-05,1.1972e-05,1.0764e-06,1.9640e-07,2.2754e-05
78.0670,2.0357e-08,1.9109e-06,2.3044e-05,2.6602e-05,9.4358e-06,2.1831e-05,1.1047e-05,9.6709e-07,1.8254e-07,2.2148e-05
79.0610,1.7239e-08,1.0118e-06,1.4166e-05,3.0307e-05,1.2426e-05,1.9711e-05,9.3167e-06,7.4331e-07,1.7366e-07,2.0035e-05
80.0560,1.6633e-08,4.7319e-07,1.0884e-05,2.4566e-05,1.6359e-05,1.7781e-05,6.9679e-06,5.3338e-07,1.7245e-07,1.7139e-05
81.0500,1.5836e-08,1.8796e-07,4.2364e-06,1.3742e-05,1.7886e-05,1.8747e-05,4.6665e-06,3.7259e-07,1.7084e-07,1.3908e-05
82.0440,1.2055e-08,4.8402e-08,3.1666e-06,7.5418e-06,1.4616e-05,2.1813e-05,5.1104e-06,2.9918e-07,1.6662e-07,1.2833e-05
83.0390,6.5967e-09,8.9510e-09,2.2829e-06,3.1368e-06,8.9677e-06,2.2306e-05,6.6391e-06,6.2968e-07,1.1480e-07,1.1607e-05
84.0330,2.2322e-09,9.3502e-10,1.5916e-06,2.1292e-06,3.7854e-06,1.0619e-05,1.0139e-05,6.8234e-07,1.0015e-07,9.3978e-06
85.0280,7.9457e-10,6.0573e-10,1.0082e-06,1.5882e-06,1.7422e-06,1.8896e-06,1.0907e-05,9.3617e-07,1.1369e-07,6.4421e-06
86.0220,2.2236e-10,1.4245e-10,5.6668e-07,1.1081e-06,9.9009e-07,1.9716e-07,2.2399e-06,1.6722e-06,1.6966e-07,2.0682e-06
87.0170,8.4870e-11,5.9112e-11,3.1006e-07,6.4433e-07,5.1557e-07,3.1575e-08,5.5909e-08,5.0567e-07,1.5793e-07,5.8614e-07
88.0110,4.1237e-11,1.5379e-11,1.4737e-07,2.8156e-07,1.7875e-07,9.0926e-09,1.4190e-08,1.8193e-08,1.7681e-07,2.7768e-07
89.0060,2.3293e-11,5.8252e-13,4.9482e-08,7.9434e-08,3.9432e-08,2.8034e-09,9.4955e-09,5.6991e-09,4.7099e-09,6.5225e-08
