# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 9h
# L*,MLT,Intensity,Counts
5.5500,1.5000,4.5531e+01,1.8460e+03
5.6500,1.5000,1.4551e+00,1.9770e+03
5.7500,1.5000,7.6983e+00,1.4850e+03
5.8500,1.5000,9.4465e-01,1.3270e+03
5.9500,1.5000,4.6510e-01,1.4760e+03
6.0500,1.5000,3.0379e+00,1.8380e+03
6.1500,1.5000,1.4742e-01,6.0200e+02
6.2500,1.5000,nan,4.0000e+00
6.3500,1.5000,nan,0.0000e+00
6.4500,1.5000,nan,0.0000e+00
6.5500,1.5000,nan,0.0000e+00
6.6500,1.5000,nan,0.0000e+00
6.7500,1.5000,nan,0.0000e+00
6.8500,1.5000,nan,0.0000e+00
6.9500,1.5000,nan,0.0000e+00
7.0500,1.5000,nan,0.0000e+00
7.1500,1.5000,nan,0.0000e+00
7.2500,1.5000,nan,0.0000e+00
7.3500,1.5000,nan,0.0000e+00
7.4500,1.5000,nan,0.0000e+00
7.5500,1.5000,nan,0.0000e+00
7.6500,1.5000,nan,0.0000e+00
7.7500,1.5000,nan,0.0000e+00
7.8500,1.5000,nan,0.0000e+00
7.9500,1.5000,nan,0.0000e+00
0.0500,2.5000,nan,0.0000e+00
0.1500,2.5000,nan,0.0000e+00
0.2500,2.5000,nan,0.0000e+00
0.3500,2.5000,nan,0.0000e+00
0.4500,2.5000,nan,0.0000e+00
0.5500,2.5000,nan,0.0000e+00
0.6500,2.5000,nan,0.0000e+00
0.7500,2.5000,nan,0.0000e+00
0.8500,2.5000,nan,0.0000e+00
0.9500,2.5000,nan,0.0000e+00
1.0500,2.5000,nan,0.0000e+00
1.1500,2.5000,nan,0.0000e+00
1.2500,2.5000,nan,0.0000e+00
1.3500,2.5000,nan,0.0000e+00
1.4500,2.5000,nan,0.0000e+00
1.5500,2.5000,nan,0.0000e+00
1.6500,2.5000,nan,0.0000e+00
1.7500,2.5000,nan,0.0000e+00
1.8500,2.5000,nan,0.0000e+00
1.9500,2.5000,nan,0.0000e+00
2.0500,2.5000,nan,0.0000e+00
2.1500,2.5000,nan,0.0000e+00
2.2500,2.5000,nan,0.0000e+00
2.3500,2.5000,nan,0.0000e+00
2.4500,2.5000,nan,0.0000e+00
2.5500,2.5000,nan,0.0000e+00
2.6500,2.5000,nan,0.0000e+00
2.7500,2.5000,nan,1.9000e+01
2.8500,2.5000,nan,3.0000e+01
2.9500,2.5000,nan,5.6000e+01
3.0500,2.5000,nan,4.3000e+01
3.1500,2.5000,3.8954e+01,1.1200e+02
3.2500,2.5000,5.6576e+01,1.5000e+02
3.3500,2.5000,7.8460e+01,2.3600e+02
3.4500,2.5000,2.0367e+01,2.8700e+02
3.5500,2.5000,1.2142e+01,4.7200e+02
3.6500,2.5000,2.3997e+01,6.2700e+02
3.7500,2.5000,4.0608e+01,6.7200e+02
3.8500,2.5000,9.7963e+00,6.4100e+02
3.9500,2.5000,7.1695e+00,7.2300e+02
4.0500,2.5000,6.9023e+00,6.5800e+02
4.1500,2.5000,3.2484e+01,8.5100e+02
4.2500,2.5000,1.5701e+02,9.0300e+02
4.3500,2.5000,6.9473e+01,1.0160e+03
4.4500,2.5000,1.3370e+02,1.2300e+03
4.5500,2.5000,3.2775e+01,1.3210e+03
4.6500,2.5000,1.4292e+02,1.4920e+03
4.7500,2.5000,1.7053e+03,1.7420e+03
4.8500,2.5000,5.3002e+03,2.0900e+03
4.9500,2.5000,1.6319e+02,2.2810e+03
5.0500,2.5000,2.0085e+02,2.3000e+03
5.1500,2.5000,6.5305e+01,2.2580e+03
5.2500,2.5000,2.1339e+01,2.2360e+03
5.3500,2.5000,5.0506e+01,2.1490e+03
5.4500,2.5000,9.5116e+01,2.0230e+03
5.5500,2.5000,2.5752e+01,1.6020e+03
5.6500,2.5000,5.1358e+01,1.2720e+03
5.7500,2.5000,3.2019e+00,1.1180e+03
5.8500,2.5000,2.2623e-01,1.0250e+03
5.9500,2.5000,0.0000e+00,1.5380e+03
6.0500,2.5000,0.0000e+00,1.0250e+03
6.1500,2.5000,8.2275e-02,4.1300e+02
6.2500,2.5000,1.5138e+02,2.0900e+02
6.3500,2.5000,nan,0.0000e+00
6.4500,2.5000,nan,0.0000e+00
6.5500,2.5000,nan,0.0000e+00
6.6500,2.5000,nan,0.0000e+00
6.7500,2.5000,nan,0.0000e+00
6.8500,2.5000,nan,0.0000e+00
6.9500,2.5000,nan,0.0000e+00
7.0500,2.5000,nan,0.0000e+00
7.1500,2.5000,nan,0.0000e+00
7.2500,2.5000,nan,0.0000e+00
7.3500,2.5000,nan,0.0000e+00
7.4500,2.5000,nan,0.0000e+00
7.5500,2.5000,nan,0.0000e+00
7.6500,2.5000,nan,0.0000e+00
7.7500,2.5000,nan,0.0000e+00
7.8500,2.5000,nan,0.0000e+00
7.9500,2.5000,nan,0.0000e+00
0.0500,3.5000,nan,0.0000e+00
0.1500,3.5000,nan,0.0000e+00
0.2500,3.5000,nan,0.0000e+00
0.3500,3.5000,nan,0.0000e+00
0.4500,3.5000,nan,0.0000e+00
0.5500,3.5000,nan,0.0000e+00
0.6500,3.5000,nan,0.0000e+00
0.7500,3.5000,nan,0.0000e+00
0.8500,3.5000,nan,0.0000e+00
0.9500,3.5000,nan,0.0000e+00
1.0500,3.5000,nan,0.0000e+00
1.1500,3.5000,nan,0.0000e+00
1.2500,3.5000,nan,0.0000e+00
1.3500,3.5000,nan,0.0000e+00
1.4500,3.5000,nan,0.0000e+00
1.5500,3.5000,nan,0.0000e+00
1.6500,3.5000,nan,0.0000e+00
1.7500,3.5000,nan,0.0000e+00
1.8500,3.5000,nan,0.0000e+00
1.9500,3.5000,nan,0.0000e+00
2.0500,3.5000,nan,0.0000e+00
2.1500,3.5000,nan,0.0000e+00
2.2500,3.5000,nan,0.0000e+00
2.3500,3.5000,nan,0.0000e+00
2.4500,3.5000,nan,0.0000e+00
2.5500,3.5000,nan,1.6000e+01
2.6500,3.5000,nan,5.6000e+01
2.7500,3.5000,nan,5.8000e+01
2.8500,3.5000,nan,7.3000e+01
2.9500,3.5000,nan,9.5000e+01
3.0500,3.5000,1.0744e+00,1.4300e+02
3.1500,3.5000,8.6358e+00,1.3900e+02
3.2500,3.5000,6.1368e+00,1.6500e+02
3.3500,3.5000,3.0253e+01,3.1000e+02
3.4500,3.5000,3.2326e+01,2.9200e+02
3.5500,3.5000,9.3113e+00,2.1500e+02
3.6500,3.5000,8.1984e+00,2.4700e+02
3.7500,3.5000,9.1482e+01,2.3600e+02
3.8500,3.5000,2.0992e+02,3.2800e+02
3.9500,3.5000,2.2551e+01,4.7900e+02
4.0500,3.5000,5.3739e+01,5.7200e+02
4.1500,3.5000,1.9111e+02,6.6500e+02
4.2500,3.5000,1.1301e+03,8.0600e+02
4.3500,3.5000,1.4307e+03,1.0700e+03
4.4500,3.5000,1.6441e+03,1.2780e+03
4.5500,3.5000,6.4340e+02,1.3570e+03
4.6500,3.5000,3.2825e+02,1.5030e+03
4.7500,3.5000,1.0710e+03,1.8840e+03
4.8500,3.5000,7.3877e+01,1.8150e+03
4.9500,3.5000,4.7236e+02,2.1790e+03
5.0500,3.5000,3.3279e+02,2.5190e+03
5.1500,3.5000,2.3684e+02,2.7160e+03
5.2500,3.5000,3.3995e+02,3.0480e+03
5.3500,3.5000,3.0278e+02,3.1650e+03
5.4500,3.5000,1.0694e+02,3.2940e+03
5.5500,3.5000,2.6608e+02,4.1080e+03
5.6500,3.5000,2.6129e+01,1.7290e+03
5.7500,3.5000,5.3698e+01,1.3910e+03
5.8500,3.5000,1.0740e+01,4.7600e+02
5.9500,3.5000,nan,3.5000e+01
6.0500,3.5000,2.9674e-02,2.0600e+02
6.1500,3.5000,nan,0.0000e+00
6.2500,3.5000,nan,0.0000e+00
6.3500,3.5000,nan,0.0000e+00
6.4500,3.5000,nan,0.0000e+00
6.5500,3.5000,nan,0.0000e+00
6.6500,3.5000,nan,0.0000e+00
6.7500,3.5000,nan,0.0000e+00
6.8500,3.5000,nan,0.0000e+00
6.9500,3.5000,nan,0.0000e+00
7.0500,3.5000,nan,0.0000e+00
7.1500,3.5000,nan,0.0000e+00
7.2500,3.5000,nan,0.0000e+00
7.3500,3.5000,nan,0.0000e+00
7.4500,3.5000,nan,0.0000e+00
7.5500,3.5000,nan,0.0000e+00
7.6500,3.5000,nan,0.0000e+00
7.7500,3.5000,nan,0.0000e+00
7.8500,3.5000,nan,0.0000e+00
7.9500,3.5000,nan,0.0000e+00
0.0500,4.5000,nan,0.0000e+00
0.1500,4.5000,nan,0.0000e+00
0.2500,4.5000,nan,0.0000e+00
0.3500,4.5000,nan,0.0000e+00
0.4500,4.5000,nan,0.0000e+00
0.5500,4.5000,nan,0.0000e+00
0.6500,4.5000,nan,0.0000e+00
