# Absolute intensity in pT^2 in each L*/MLT bin in Figure 9e
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.7903e+01,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,1.9699e+00,nan,nan,nan,nan,nan,nan,nan,6.2867e+00,nan,nan,nan,4.3108e+01,nan,nan,nan,2.4984e+01,nan,nan,nan
nan,nan,nan,nan,2.5625e+00,nan,nan,nan,9.8371e+00,4.1849e+01,nan,1.4477e+01,9.6363e+00,nan,nan,nan,5.2340e+01,nan,1.1506e+01,4.2749e+01,1.5376e+00,nan,nan,nan
nan,1.9563e+01,nan,nan,2.2929e+00,nan,nan,nan,2.2093e+01,3.4008e+01,6.6537e+00,nan,8.8864e+00,nan,nan,4.6492e+01,6.5473e+01,nan,1.3068e+01,1.8976e+01,nan,1.9585e+00,nan,nan
nan,1.8046e+01,nan,nan,1.7220e+00,1.8685e+02,nan,nan,1.5527e+01,3.1395e+01,1.1382e+01,nan,2.7349e+01,nan,nan,3.9355e+01,5.8869e+01,nan,1.4554e+01,4.3393e+00,nan,2.2810e+00,nan,nan
nan,1.4169e+01,nan,nan,8.6583e+00,1.8476e+02,1.2232e+02,2.5385e+01,8.7710e+00,2.8168e+01,2.3851e+01,nan,2.8711e+01,5.2202e+01,8.7234e+01,3.8330e+01,8.3154e+01,1.9621e+01,1.0625e+01,3.1234e+00,nan,2.4711e+00,1.8243e+00,nan
nan,3.5883e+01,nan,3.4407e+01,2.5515e+01,1.3911e+02,2.2739e+01,1.4987e+01,1.3914e+01,2.1323e+01,3.5125e+01,6.7644e+01,3.3699e+01,9.9360e+01,nan,3.7955e+01,1.1000e+02,2.9700e+01,1.3004e+01,1.2166e+01,nan,2.9792e+00,2.0103e+00,nan
1.1138e+01,9.4120e+00,1.0219e+02,6.8836e+00,4.3097e+01,1.5979e+02,7.7992e+01,1.5760e+01,2.3376e+01,1.9808e+01,2.7185e+01,7.0569e+01,3.0460e+01,6.9222e+01,nan,5.8839e+01,1.0884e+02,3.5740e+01,3.3477e+01,4.1924e+01,nan,6.1157e+00,6.2940e+00,nan
nan,1.1533e+01,5.9942e+01,1.2364e+01,1.1396e+02,1.3762e+02,1.5115e+02,2.1088e+01,2.6353e+01,5.0346e+01,2.4912e+01,7.1227e+01,5.6192e+02,5.2627e+01,7.5396e+01,6.4573e+01,1.1529e+02,5.8851e+01,2.8252e+01,4.6359e+01,nan,5.2412e+01,nan,nan
2.6909e+01,3.4615e+00,4.8947e+00,2.1980e+01,4.8549e+02,1.7629e+02,6.4296e+01,5.0596e+01,3.2139e+01,7.4390e+01,3.5406e+01,6.1186e+01,6.3326e+02,7.5442e+01,6.7722e+01,1.8303e+02,6.3192e+01,4.9701e+01,2.5257e+01,4.9996e+01,4.4754e+01,nan,2.8010e+02,nan
2.3986e+01,4.3474e+00,4.1332e+00,6.0020e+01,3.4486e+02,2.2783e+02,2.9521e+01,2.8934e+02,2.2955e+01,1.1940e+02,6.1443e+01,9.5291e+01,1.2574e+03,8.4521e+01,9.0753e+01,5.5814e+02,3.3634e+01,4.5542e+01,3.4448e+01,4.9620e+01,1.0455e+01,nan,1.9066e+02,2.6916e+00
6.0118e+00,1.3910e+01,1.2833e+02,5.2712e+01,2.7591e+02,1.2877e+02,1.6251e+01,4.9331e+01,2.6444e+01,1.5152e+02,7.0071e+01,5.0090e+01,9.9037e+02,1.0121e+02,5.5764e+01,1.2494e+03,4.0310e+01,6.2403e+01,3.4329e+01,6.0186e+01,nan,8.8381e+00,1.3541e+02,9.8341e-01
3.1308e+00,6.1014e+00,1.9052e+02,6.7115e+01,3.7367e+02,8.8726e+01,9.6172e+01,7.3967e+01,8.7703e+01,2.6741e+02,7.8714e+01,7.2199e+01,1.1037e+03,7.5289e+01,8.8554e+01,6.2553e+01,4.5450e+01,6.2963e+01,4.4316e+01,7.1360e+01,nan,1.3488e+01,6.7183e+00,1.4624e+00
1.4729e+00,1.9373e+00,1.3767e+01,1.3140e+02,5.9834e+01,8.0146e+01,2.3475e+02,9.2943e+01,8.0343e+01,1.0092e+02,1.1655e+02,5.1614e+01,4.2655e+02,4.7768e+02,1.6477e+02,5.1843e+01,9.3505e+01,6.0171e+01,3.8253e+01,6.6174e+01,nan,5.8404e+00,1.6203e+00,7.9140e-01
5.4574e-01,6.0288e+00,3.3088e+02,1.3319e+02,5.1857e+01,1.6380e+02,1.8217e+02,1.1673e+03,9.0057e+01,1.6110e+02,1.2964e+02,6.1545e+01,5.8598e+01,6.6624e+02,1.9110e+02,4.4384e+01,7.4118e+01,2.7525e+01,4.6685e+01,4.8683e+01,5.3113e-01,6.3482e+00,4.2677e-01,1.3979e+00
2.9691e-01,2.1971e+00,2.9366e+01,1.4651e+02,1.7367e+01,4.2368e+01,2.4926e+02,6.6701e+02,1.8476e+02,1.7825e+02,1.4978e+02,9.0918e+01,6.5014e+01,5.1416e+02,1.5443e+02,8.5596e+01,7.8704e+01,2.2334e+01,8.2477e+01,nan,1.0462e+00,2.9474e-01,4.5965e-01,3.2689e-01
4.1845e+00,2.5068e+01,2.4359e+01,4.1248e+02,1.1156e+01,3.9144e+01,4.8209e+01,1.0741e+02,1.8758e+02,2.7661e+02,5.7758e+01,9.7694e+01,7.4129e+01,2.5075e+02,2.2337e+02,6.6080e+01,9.6747e+01,7.5128e+01,3.6594e+01,nan,9.9363e-01,0.0000e+00,8.9272e-01,6.7016e-01
