# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 9f
# L*,MLT,Intensity,Counts
3.5500,2.5000,2.0882e+01,1.4100e+02
3.6500,2.5000,7.9307e-01,1.4700e+02
3.7500,2.5000,4.4748e+01,2.3100e+02
3.8500,2.5000,3.7174e+02,3.3700e+02
3.9500,2.5000,7.7481e+02,4.1600e+02
4.0500,2.5000,5.0716e+02,4.3100e+02
4.1500,2.5000,4.1547e+03,3.5700e+02
4.2500,2.5000,1.2468e+03,2.9000e+02
4.3500,2.5000,6.3140e+01,2.3900e+02
4.4500,2.5000,3.9784e+03,2.8600e+02
4.5500,2.5000,3.2885e+03,2.0300e+02
4.6500,2.5000,5.5479e+02,1.7800e+02
4.7500,2.5000,0.0000e+00,1.4300e+02
4.8500,2.5000,0.0000e+00,1.2400e+02
4.9500,2.5000,0.0000e+00,1.1600e+02
5.0500,2.5000,2.5008e-01,2.8900e+02
5.1500,2.5000,6.6013e+01,3.6400e+02
5.2500,2.5000,6.7373e+01,3.5000e+02
5.3500,2.5000,2.3924e+02,3.2700e+02
5.4500,2.5000,3.9737e+01,5.5400e+02
5.5500,2.5000,1.0095e+00,1.6100e+02
5.6500,2.5000,nan,6.1000e+01
5.7500,2.5000,nan,0.0000e+00
5.8500,2.5000,nan,0.0000e+00
5.9500,2.5000,nan,0.0000e+00
6.0500,2.5000,nan,0.0000e+00
6.1500,2.5000,nan,0.0000e+00
6.2500,2.5000,nan,0.0000e+00
6.3500,2.5000,nan,0.0000e+00
6.4500,2.5000,nan,0.0000e+00
6.5500,2.5000,nan,0.0000e+00
6.6500,2.5000,nan,0.0000e+00
6.7500,2.5000,nan,0.0000e+00
6.8500,2.5000,nan,0.0000e+00
6.9500,2.5000,nan,0.0000e+00
7.0500,2.5000,nan,0.0000e+00
7.1500,2.5000,nan,0.0000e+00
7.2500,2.5000,nan,0.0000e+00
7.3500,2.5000,nan,0.0000e+00
7.4500,2.5000,nan,0.0000e+00
7.5500,2.5000,nan,0.0000e+00
7.6500,2.5000,nan,0.0000e+00
